complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
bench toot gaya hai classroom mein,Infrastructure,Medium,From Last Month,20+,synthetic,,,
202 AC is not working ,Technical Issues,High,From Last Month,2 to 5,real,,,
"The washrooms in this college are in terrible condition. All toilet stalls in girls washroom of D block have broken flush handles - you have to manually pour water or leave it. Floor is perpetually wet creating a slipping hazard. There are no soap dispensers. Cleaning is done only once in the morning, after which condition deteriorates rapidly. By afternoon it is genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule.",Infrastructure,High,Today,5 to 20,synthetic,,,
elective subject mein enrolled kiya but koi teacher hi nahi,Academics,Low,Today,20+,synthetic,,,
Lab M312 mein half the computers kaam nahi karte. Either don't boot or login fails. Practicals kaise submit karein?,Technical Issues,High,From Last Month,2 to 5,synthetic,,,
"College website outdated - timetables wrong, faculty list incomplete. When will this be updated?",Technical Issues,High,More than a month,20+,synthetic,,,
placement preparation ke liye zero support,Academics,High,Today,20+,synthetic,,,
Sir ne ek student ka assignment baar baar reject kiya bina proper reason ke aur publicly embarrass kiya. This appears to be targeted harassment. The student is one of the quiet ones who doesn't fight back. This professor seems to pick on certain students while favoring others. Multiple students have noticed this pattern. This is not fair evaluation - this is bullying by a person in authority. The student is now too scared to even submit assignments. Please address this immediately.,Ragging,Medium,More than a month,5 to 20,synthetic,,,
sir behavior students ke saath bahut bura hai,Ragging,High,More than a month,2 to 5,synthetic,,,
Canteen outdoor benches toot gaye hai. Students injury risk pe hai. Basic seating maintain karo please.,Mess/Food,High,More than a month,20+,synthetic,,,
A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Ragging,High,From last week,Only me,synthetic,,,
"OHU students ke liye meal ka cost high hai but quality itni low hai. Hum depend karte hai college food pe, koi option nahi.",Mess/Food,High,From Last Month,5 to 20,synthetic,,,
canopy leaks rain mein,Infrastructure,High,More than a month,20+,synthetic,,,
cleanliness - everywhere ,Cleanliness,High,More than a month,20+,real,,,
no soap dispenser in washroom,Infrastructure,High,More than a month,2 to 5,synthetic,,,
In labs there are many issues of socket students use pen to put their chargers ,Infrastructure,Low,More than a month,20+,real,,,
teacher fast padha rahe hai,Academics,Medium,From last week,20+,synthetic,,,
"I've been drinking from the water dispenser in A block for months and recently realized the taste has been off for a while  slightly metallic and stale. I think the dispenser hasn't been cleaned or serviced in a long time. We don't have any other water source during college hours. If the water quality is bad, students could get sick. Please get the water tested from a lab and service all dispensers on campus at least once a month. This is a basic health necessity.",Other,Medium,More than a month,Only me,synthetic,,,
"Parking area is completely unorganized. No designated spots, vehicles parked randomly, creates traffic jams every morning.",Infrastructure,Low,More than a month,20+,synthetic,,,
garbage near canteen area,Cleanliness,Medium,From last week,20+,synthetic,,,
Canteen ki seating capacity MUST be increased. 200+ students aate hai ek saath lunch pe aur baith ne ki jagah 50 logon ke liye hai. Simple math problem.,Mess/Food,High,From last week,5 to 20,synthetic,,,
Girls common room mein AC nahi hai but boys ke liye hai. Unfair treatment and basic comfort issue.,Infrastructure,Medium,More than a month,5 to 20,synthetic,,,
printer network se connect nahi ho raha,Technical Issues,Medium,More than a month,5 to 20,synthetic,,,
rice undercooked hai,Mess/Food,High,More than a month,5 to 20,synthetic,,,
ragging ke cases badh rahe hai,Ragging,Medium,From last week,Only me,synthetic,,,
food quality very poor,Mess/Food,High,More than a month,2 to 5,synthetic,,,
canteen bahut expensive hai fees ke hisaab se,Mess/Food,High,More than a month,20+,synthetic,,,
